Key,English,Spanish
Menu.Welcome,Play,Jugar
Menu.UI.Interaction,Press interact button to recharge your lantern,Presiona el botón de interactuar para recarga la linterna
Menu.UI.GameOver,You have succumbed to madness.,Has sucumbido a la locura.
Menu.UI.Win,You win,Has ganado
Menu.UI.Settings,Settings,Ajustes
Menu.UI.MasterVolume,Master Volume,Volumen del Master
Menu.UI.Change.Language,Language:,Cambiar Idioma:
Menu.UI.Language.Spanish,Spanish,Español
Menu.UI.Language.English,English,Inglés
Menu.UI.MainMenu,Main Menu,Menú Principal
Menu.UI.Exit,Quit game,Salir del juego
Menu.UI.Save,Save,Guardar
Menu.UI.MusicVolume,Music Volume,Volumen de la música
Menu.UI.SfxVolume,SFX Volume,Volumen del SFX
Menu.Credits,Credits,Créditos
Menu.Delete.Game,Delete Game,Borrar partida
Menu.UI.Yes,Yes ,Si
Menu.UI.No,No,No
Menu.UI.Warning,"If you go back to the main menu without saving, your progress will be delete",Si regresas al menú principal sin guardar se borraran tus datos
Menu.UI.Leave,Leave,Salir 
Menu.UI.Overwrite,Are you sure you want to overwrite the Game?,¿Estas seguro qué quieres sobreescribir la partida? 
